Exporting 96.120.37.81...
1: 10.1.10.1 (6ms)  10.1.10.1 (4ms)  10.1.10.1 (4ms)
2: 96.120.37.81 (44ms)  *  96.120.37.81 (18ms)
source,destination,trace,ttl,query,query_result,addr,rtt,hop_mean_ms,hop_median_ms,city,country,country_code,country_code_iso3,country_capital,region,region_code,latitude,longitude,timezone,utc_offset,asn,org
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,1,1,success,10.1.10.1,10,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,1,2,success,10.1.10.1,3,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,1,3,success,10.1.10.1,3,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,2,1,success,96.120.37.81,13,15,15,Washington,United States,US,USA,Washington,District of Columbia,DC,38.9208,-77.036,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,2,2,timeout,,,15,15,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,2,3,success,96.120.37.81,18,15,15,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,1,1,success,10.1.10.1,6,5,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,1,2,success,10.1.10.1,4,5,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,1,3,success,10.1.10.1,4,5,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,2,1,success,96.120.37.81,44,31,31,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,2,2,timeout,,,31,31,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,2,3,success,96.120.37.81,18,31,31,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,1,1,success,10.1.10.1,11,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,1,2,success,10.1.10.1,4,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,1,3,success,10.1.10.1,3,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,2,1,success,96.120.37.81,13,13,13,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,2,2,timeout,,,13,13,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,2,3,success,96.120.37.81,13,13,13,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,1,1,success,10.1.10.1,11,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,1,2,success,10.1.10.1,4,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,1,3,success,10.1.10.1,4,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,2,1,success,96.120.37.81,11,41,41,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,2,2,timeout,,,41,41,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,2,3,success,96.120.37.81,72,41,41,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,a4a3ec21-48b8-4fa7-b798-662a73a40c57,1,1,success,10.1.10.1,5,4,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,a4a3ec21-48b8-4fa7-b798-662a73a40c57,1,2,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,a4a3ec21-48b8-4fa7-b798-662a73a40c57,1,3,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,a4a3ec21-48b8-4fa7-b798-662a73a40c57,2,1,timeout,,,19,19,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,a4a3ec21-48b8-4fa7-b798-662a73a40c57,2,2,success,96.120.37.81,19,19,19,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,a4a3ec21-48b8-4fa7-b798-662a73a40c57,2,3,timeout,,,19,19,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,b6c5a3ab-29c7-4875-ae80-3ce87fe4ccc1,1,1,success,10.1.10.1,10,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,b6c5a3ab-29c7-4875-ae80-3ce87fe4ccc1,1,2,success,10.1.10.1,3,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,b6c5a3ab-29c7-4875-ae80-3ce87fe4ccc1,1,3,success,10.1.10.1,3,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,b6c5a3ab-29c7-4875-ae80-3ce87fe4ccc1,2,1,success,96.120.37.81,15,14,14,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,b6c5a3ab-29c7-4875-ae80-3ce87fe4ccc1,2,2,timeout,,,14,14,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,b6c5a3ab-29c7-4875-ae80-3ce87fe4ccc1,2,3,success,96.120.37.81,12,14,14,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
Exporting 96.110.138.113...
1: 10.1.10.1 (4ms)  10.1.10.1 (4ms)  10.1.10.1 (4ms)
2: 96.120.37.81 (15ms)  96.120.37.81 (12ms)  96.120.37.81 (11ms)
3: 96.110.138.113 (20ms)  96.110.138.113 (11ms)  96.110.138.113 (12ms)
source,destination,trace,ttl,query,query_result,addr,rtt,hop_mean_ms,hop_median_ms,city,country,country_code,country_code_iso3,country_capital,region,region_code,latitude,longitude,timezone,utc_offset,asn,org
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,1,1,success,10.1.10.1,3,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,1,2,success,10.1.10.1,3,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,1,3,success,10.1.10.1,4,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,2,1,success,96.120.37.81,11,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,2,2,success,96.120.37.81,12,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,2,3,success,96.120.37.81,13,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,3,1,success,96.110.138.113,13,16,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,3,2,success,96.110.138.113,14,16,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0339987b-498c-4d4a-bc36-7b6ea1824513,3,3,success,96.110.138.113,21,16,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,1,1,success,10.1.10.1,2,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,1,2,success,10.1.10.1,3,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,1,3,success,10.1.10.1,3,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,2,1,success,96.120.37.81,12,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,2,2,success,96.120.37.81,12,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,2,3,success,96.120.37.81,12,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,3,1,success,96.110.138.113,12,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,30.3511,-81.506,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,3,2,success,96.110.138.113,17,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,0a1636b7-c06f-4e64-9520-c056d5e15e27,3,3,success,96.110.138.113,12,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,1,1,success,10.1.10.1,3,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,1,2,success,10.1.10.1,3,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,1,3,success,10.1.10.1,4,3,3,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,2,1,success,96.120.37.81,12,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,2,2,success,96.120.37.81,11,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,2,3,success,96.120.37.81,15,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,3,1,success,96.110.138.113,12,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,3,2,success,96.110.138.113,11,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,13ba93be-620a-468c-a136-a2b04fec8be4,3,3,success,96.110.138.113,11,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,1,1,timeout,,,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,1,2,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,1,3,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,2,1,success,96.120.37.81,11,12,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,2,2,success,96.120.37.81,13,12,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,2,3,success,96.120.37.81,11,12,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,3,1,success,96.110.138.113,10,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,3,2,success,96.110.138.113,12,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,a12448be-cb1f-491e-9b1f-6f72d44727bb,3,3,success,96.110.138.113,11,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,1,1,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,1,2,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,1,3,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,2,1,success,96.120.37.81,12,14,14,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,2,2,success,96.120.37.81,14,14,14,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,2,3,success,96.120.37.81,16,14,14,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,3,1,success,96.110.138.113,21,16,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,3,2,success,96.110.138.113,11,16,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,beac759b-dc99-425a-ac10-12d8b2e65277,3,3,success,96.110.138.113,15,16,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,1,1,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,1,2,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,1,3,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,2,1,success,96.120.37.81,15,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,2,2,success,96.120.37.81,12,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,2,3,success,96.120.37.81,11,12,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,3,1,success,96.110.138.113,20,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,3,2,success,96.110.138.113,11,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.138.113,e8112879-7109-420e-87c0-050c3600ca86,3,3,success,96.110.138.113,12,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
Exporting 68.87.162.2...
1: 10.1.10.1 (4ms)  10.1.10.1 (4ms)  10.1.10.1 (4ms)
2: 96.120.37.81 (17ms)  96.120.37.81 (12ms)  96.120.37.81 (13ms)
3: 96.110.138.113 (21ms)  96.110.138.113 (12ms)  96.110.138.113 (15ms)
4: 68.87.162.2 (13ms)  68.87.162.2 (11ms)  68.87.162.2 (31ms)
source,destination,trace,ttl,query,query_result,addr,rtt,hop_mean_ms,hop_median_ms,city,country,country_code,country_code_iso3,country_capital,region,region_code,latitude,longitude,timezone,utc_offset,asn,org
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,1,1,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,1,2,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,1,3,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,2,1,success,96.120.37.81,12,14,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,2,2,success,96.120.37.81,20,14,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,2,3,success,96.120.37.81,11,14,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,3,1,success,96.110.138.113,11,12,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,3,2,success,96.110.138.113,12,12,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,3,3,success,96.110.138.113,11,12,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,4,1,success,68.87.162.2,14,12,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,4,2,success,68.87.162.2,11,12,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,3b943c83-262f-4c08-ad23-25cccc6a46ec,4,3,success,68.87.162.2,11,12,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,1,1,success,10.1.10.1,5,4,3,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,1,2,success,10.1.10.1,3,4,3,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,1,3,success,10.1.10.1,3,4,3,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,2,1,success,96.120.37.81,16,18,16,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,2,2,success,96.120.37.81,11,18,16,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,2,3,success,96.120.37.81,28,18,16,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,3,1,success,96.110.138.113,33,36,33,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,3,2,success,96.110.138.113,31,36,33,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,3,3,success,96.110.138.113,44,36,33,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,4,1,success,68.87.162.2,12,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,30.3511,-81.506,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,4,2,success,68.87.162.2,17,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,4ab87613-af4b-4230-a0ec-a67f323bfd8b,4,3,success,68.87.162.2,12,14,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,1,1,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,1,2,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,1,3,success,10.1.10.1,3,4,4,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,2,1,success,96.120.37.81,27,17,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,2,2,success,96.120.37.81,12,17,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,2,3,success,96.120.37.81,11,17,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,3,1,success,96.110.138.113,12,13,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,3,2,success,96.110.138.113,16,13,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,3,3,success,96.110.138.113,12,13,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,4,1,success,68.87.162.2,12,15,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,4,2,success,68.87.162.2,12,15,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,7e9c1540-662a-4b32-be3d-284671f03081,4,3,success,68.87.162.2,23,15,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,1,1,success,10.1.10.1,3,5,5,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,1,2,timeout,,,5,5,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,1,3,success,10.1.10.1,8,5,5,,,,,,,,,,,,,
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,2,1,success,96.120.37.81,12,13,13,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,2,2,success,96.120.37.81,13,13,13,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,2,3,success,96.120.37.81,13,13,13,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,3,1,success,96.110.138.113,11,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,3,2,success,96.110.138.113,11,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,68.87.162.2,9542c51b-d5a3-4669-afad-4d403b760e9e,3,3,success,96.110.138.113,11,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
